,id,text,category
35,1178812545177538560,Connor is getting ready for his stand in for #jokermovie mrsfitz318 #whysoserious #funny https://www.instagram.com/p/B3DbvVNA5oS/?igshid=1n50n6dfyc03w …,
36,1178812087788654592,"Can’t wait to see JOKER

#JokerMovie pic.twitter.com/OAsQbwbaZw",
37,1178811943664021505,Who wanna go see the Joker movie this weekend ? #JokerMovie,
38,1178811909635809280,"VERY excited for #JokerMovie 

Count up your sins! pic.twitter.com/vf2rfJezkM",
39,1178811893659688967,I can’t wait to see #JokerMovie like I’ve waited for more than three months for this to happen,
40,1178459176374280193,Heath Ledger RIP to that wonder man😊🤗and Joaquin Phoenix #jokermovie and Mark Hamill❤💯🔥,TALENT
41,1178456636802793473,"JOKER: Trailer Review (No Spoilers) in anticipation of the new Joker movie being released Oct. 4. See Review: https://www.youtube.com/watch?time_continue=1&v=zESxSUFmCso … 
#joker #JokerMovie #JoaquinPhoenix #JokerMovieContestpic.twitter.com/mt3yqKvk7a",
42,1178452977511751680,#Joker #jokerpremiere #jokertrailer #JOKERmovie is Coming #Soon SOON #TrendingNow #live #akhalid ###Trending 😲😲😲https://link.kikitime.com/post/b729f0bb-2887-442b-aa4d-c050b45bfd48 …,
43,1178452918246076416,"are u talkin' to #JoaquinPhoenix ?
#JokerMovie https://twitter.com/HIDEO_KOJIMA_EN/status/1177839219575705600 …",CHARACTERS
44,1178451948154114051,"Fan art inspired by @jokermovie. I was having some ""colada morada"" and decided to play around with it... hope you like it!

#JokerMovie
#FanArt
#ColadaMorada
#WarnerBros 
#DCComics 
#Joker 
#Batmanpic.twitter.com/C1mT62oZLB",
45,1178450708900663298,"3 more days 🤡
#JokerMovie",
46,1178450380268740612,All ready to watch tonight #BoxOfficebreakdown @happygojackie @amycassandramtz they talk about #AbominableMovie box office how much #JokerMovie going to make at the box office next weekend,
47,1178450152517967878,"artist: #DenverBalbaboco 
#JokerMovie #jokerpic.twitter.com/7CfdaBWnKr",
48,1178449842521219072,October is almost here. Joker 🃏 is coming! Got my tickets gonna dance into the theater like this. #Joker #jokermovie #jokerfilm toddphillips1 #dccomics #joaquinphoenix #comicbooks #comicbookart #illustration #batman https://www.instagram.com/p/B3A2zVFB-jK/?igshid=19mx14i4i2o7e …,
49,1178449242488266754,"Upset the established order, and everything becomes chaos. Todd Phillips is an agent of chaos. Oh, and you know the thing about chaos? It's fair! Fuck the bloggers... Fuck the critics... Fuck em. Can't wait! #Joker #JokerMovie #DoubleStandardspic.twitter.com/VIYMRAXb51",HYPE
50,1178448645638823938,I live in Canada and haven’t heard anything. I go too the movies often. We never needed security over a movie. I cannot believe all the BS around the #JokerMovie. I have 3 tickets don’t feel worried about seeing #Joker.,
51,1178448594753343488,"EXCLUSIVE! interviews at the ""Joker"" World Premiere Joaquin Phoenix & cast! https://youtu.be/qozwerngX6s   @JoaquinPhoenix #jokerredcarpet #jokerpremiere #jokerfilm #JoaquinPhoenix 
#jokermovie",TALENT
52,1178446890423091200,"This weeks episode is now available talking all about #TheJoker to prepare you for #JokerMovie next week! We chat origins, first appearance, first memory and more with @Incognito_Comic 

#DCComics #Thejokermovie 

https://omny.fm/shows/shaken-not-nerd/history-of-the-joker-w-aus-from-incognito-comics …pic.twitter.com/989sLYDlYb",
53,1178445195337228290,JOKER – Final Trailer – Warner Bros. #Joker #JokerMovie https://www.youtube.com/watch?v=xRjvmVaFHkk …,
54,1178445008774414336,"To those on the left (and @FBI & @USArmy) warning that the #JokerMovie might prompt emotionally disturbed viewers to shoot people, a reminder that one of the only times that actually happened was Schindler's List. Should Holocaust films have warnings too? 
https://www.latimes.com/archives/la-xpm-1994-02-08-mn-20485-story.html …",
55,1178439568044855298,"Hey @JimVejvoda, did you see your quote for @jokermovie? 😊

#Joker #JokerMovie #JokerPremiere 👇https://twitter.com/jokermovie/status/1178429242662473728 …",
56,1178439224577724424,"""Joaquin Phoenix's performance is so good it's almost supernatural"" Check our #JokerMovie Review #Weareallclowns @Roadshowfilms https://spotlightreport.net/featured/joker-movie-review …pic.twitter.com/g5V8q623lk",
57,1178438518105755648,"#JokerMovie when customers call to ask about your security levels.
Ugh",
58,1178437822157672449,#BigMouth Season 3 comes out on Friday and so does #JokerMovie what one do I watch first and how do I cancel all my weekend plans?! #Adulting,
59,1178436733504876544,Been trying to watch that since last week. But probably gonna have to wait cuz #JokerMovie is this week!!!!,
60,1179546568329838592,This goes to all the people who are criticizing the #JokerMovie: I'm sorry you've been bullied your whole lives.,
61,1179546516324864004,#jokermovie @ SilverCity Polo Park IMAX Theater https://www.instagram.com/p/B3IpgzAAUoK/?igshid=5qtfcaa8kz6c …,
62,1179546236610863105,"As goes for The joker movie , Heath ledger’s (rip) and Joaquin Phoenix’s character aren’t suppose to be the same joker , understand that before rating any comic book movie #JokerMovie",TALENT
63,1179545895102230528,I was REALLY looking forward to doing nothing this weekend. Just realized #JokerMovie is out this week pic.twitter.com/1Y8MYNirWs,
64,1179545850206400514,how y’all think that #JokerMovie going to be? I want to see it myself,
65,1179545524535472129,Hey clowns. Like IPAs? Snag a Trickster IPA from @GreenManBrewing at The Springs and get a free pint glass! See you this weekend for the #JokerMovie starring #JoaquinPhoenix. 🤡pic.twitter.com/3RU3u383BB,
66,1179545382830952448,I cannot wait to watch #JokerMovie on saturday its gunna be so good 😁 pic.twitter.com/EYQhw5UBLd,
67,1179545338878812161,put on a happy face #JokerMovie #Joker #JoaquinPhoenix #FilmTwitterpic.twitter.com/Naf779Hj8Y,
68,1179545118166179840,"If Joaquin Phoenix doesn't get an Oscar for his role in Joker, then the film industry haven't a clue what outstanding acting is. #Joker #JokerMovie #JoaquinPhoenix",TALENT
69,1179544977845690368,"So three awesome movies are coming out soon which I cannot wait for. #ElCaminoABreakingBadMovie, #Joker #JokerMovie & #TerminatorDarkFate. 

Really looking forward to these movies.",
70,1179544605882290177,#jokermovie jokermovie #screening https://www.instagram.com/p/B3IopVlAZnA/?igshid=1on4hoohdvp4e …,
71,1179544529986154496,I’m excited of this MASTERPIECE! #JokerMovie,
72,1179544245360713728,Happy #JokerMovie release day,
73,1179544235890139136,"I’ve already reserved my ticket to see the #JokerMovie this weekend. Since I’m Asian, no one was worried about me being inspired to shoot up the theater, or that I’m ANY kind of threat at all. #SadBecauseItsTrue",
74,1179544072140120064,"Fantastic 🔥🔥
#Joker #jokermovie  #JokerReview 
 one of the greatest piece of cinema  It's bold, dark, iconic, extraordinary . Joaquin gave the performance of a lifetime. A pure gem. And that climax was GOAT .Dear @TheAcademy  take a chill pill and give him the award",
75,1179544014057439232,This week the @geeknerdtangent discussed violence and video games. With the controversy surrounding the #JokerMovie Hope people will see fact from fiction. Hopefully the #thejoker will be a flawless victory at the #boxoffice though.,
76,1179543847057215488,Joker movie review: No one's laughing in this bleak Batman spin-off http://JOKERDIRECTORSCUT.vuhere.com  #trump #starwars #jokermovie #joker #batwomanTheRiseOfSkywalkerSweepstakes #theriseofskywalker #CountdownToHalloweenpic.twitter.com/JUKOWaoGjJ,
77,1179543585949147137,"Seeing an early screening of Joker.
#JokerMovie #DCUNIVERSE #IMAXpic.twitter.com/vmzCvtgf6F",
78,1179543559902519298,We about to see jokermovie I cant wait to see to see the joker. I will Give yall the review later. @Recklessbarry20  #jokermovie #dcuniverse thedcuniverse #imax @IMAX @hits973 https://www.instagram.com/p/B3IoKufh9dw/?igshid=3d3v1nbc0mir …,
79,1179542814943825921,I cant stop thinking about #JokerMovie pic.twitter.com/dWr0CmD735,
80,1177371128484061186,"Who would go see a violent, scary #movie like #JokerMovie @jokermovie and why are #films like this produced? It can encourage violence.  #BanViolentFilms  #RememberAurora  We need more uplifting films like @MrRogersMovie @tomhanks",
81,1177370030448812033,Have you got your tickets yet? #Joker #JokerMovie pic.twitter.com/v4kM6y9FEC,
82,1177369167915298816,"#Guason #nosapasiona #JokerMovie
 ales13fm@gmail.com pic.twitter.com/5QPbZSL32d",
83,1177369163087646720,This guy is seriously sick in the head if he thinks a gentleman gamer such as myself would commit such a heinous crime at the premiere of the slow burn character driven drama #JokerMovie,
84,1177369027024474112,"Sounds about right #joker #thejoker #jokermovie 
https://cosmicbook.news/joker-director-blames-far-left …",
85,1177368440040042502,Put on a happy face. #jokermovie #quicksketch #ink https://www.instagram.com/p/B25LCgjhVf8/?igshid=1hw52rmwudtek …,
86,1177367673925230597,#JokerMovie is estimated to have $100 Million Box office in the opening weekend. Buy $T stock before it is too late.https://twitter.com/jokermovie/status/1177251484213231618 …,
87,1177367285545066496,2 Things: 1. I just purchased this 13” x 19” Exclusive numbered art print from JOKER at the Regal Rewards Center 2. I just got 2 Tickets for my bro and I to see the film Next Thursday at 4PM at Cinépolis!!!! #JokerMovie 🎥🤡 pic.twitter.com/dk3xEC3dxe,
88,1177367229186359297,"So supposedly The Joker movie is a threat to National Security, but John Wick and NWA are ok. 🤷🏾‍♂️🤦🏾‍♂️

#JokerMovie #DCComics #Joker #Batman #JohnWick #NWA",
89,1177367020406530049,I totally forgot that #JokerMovie comes out next weekend! I cant wait to see! pic.twitter.com/6661JuTfBv,
90,1177366844572934144,I wonder if the #JokerMovie controversy is all manufactured by Warner Brothers to sell more tickets on opening weekend.,
91,1177366712351485957,Open bookings in #Hyderabad for #JokerMovie @warnerbrosindia,
92,1177366504288989184,You think when someone bumps into Joaquin Phoenix he shouts “Hey! I’m Joaquin here!” #JokerMovie,TALENT
93,1177366329176809473,"Finna go to the new #JokerMovie just to say ""FUCK Batman"" at the screen and leave.",
94,1177365651679338496,Some people might say this about the movie 'The Joker' (2019). | #JokerMovie,
95,1177365153295126528,#JokerMovie producer defends movie for holding ‘mirror to our society’: https://nypost.com/2019/09/26/joker-producer-defends-movie-for-holding-mirror-to-our-society/ …,
96,1177363658294386689,Do people actually care about the #JokerMovie  being violent? Or is it just media blowing smoke because everyone I know talk about it is just excited,
97,1177363095217328128,I hope #JokerMovie is massively successful. And is regarded as the best movie of the year just to stick it to these butthurt SJWs. https://twitter.com/WillamKelley/status/1177351083334733825 …,
98,1177362259343020032,One week. #JokerMovie pic.twitter.com/tM9yOoZDFo,
99,1177361080726765574,"Was really excited to go see #JokerMovie on my birthday. Now, some fucking incels have ruined my good time.

It was LITERALLY my only birthday plan.",
100,1180271323924189184,Highly recommend #JokerMovie 👍 pic.twitter.com/oBhxmeQWvf,
101,1180271131246448640,After seeing this I really urge people to LEAVE PEOPLE TF ALONE WHEN THEY NOT CAUSING ANY HARM #JokerMovie,
102,1180271110882906112,"#inktober2019 Day 4: The King of Comedy. 
I love this oddball  #Scorcese movie and have heard this dark and gritty #JokerMovie borrows a lot from it. pic.twitter.com/fgfoyWqK4w",
103,1180271027105992704,#JokerMovie is incredible. Joaquin Phoenix played Joker in such a different way to anyone before him and it helped make this a comic film unlike any I've seen before.,TALENT
104,1180270949368844289,"saw the #JokerMovie very well-written  directed, and acted by Joaquin Phoenix. He should get an #Oscars2020 nod. 

It's definitely told from the villain perspective and puts a twist on the Bruce Wayne origin story. #joker is not yet fully evil  but he's got about 15 years or so",TALENT
105,1180270750424555521,On the way to see #JokerMovie hope it's what everyone been saying it is. pic.twitter.com/vkXLix6paH,
106,1180270742254080000,I rated #JokerMovie 9\10,
107,1180270614315225093,All I can say is WOW! Joaquin Phoenix was brilliant! The #JokerMovie is brilliant! 🤡,TALENT
108,1180270577715728384,"Watchin'
Joker @jokermovie
🤡🤡🤡🤡🤡🤡🤡🤡
🎬🎞️🎬🎞️🎬🎞️🎬🎞️

#Joker #JokerMovie #JokerFilm #Joker2019 #Jokerthemovie #JoaquinPhoenix #ArthurFleck #DC #Batman #arkhamasylum #Gotham #ThomasWayne #BruceWayne #DC #DCUNIVERSE #DCComics #HarleyQuinn #TheJoker #movienight #Moviepic.twitter.com/AWchNX8Avu",
109,1180270556219879424,AMAZING! #JokerMovie #JoaquinPhoenix #RobertDeNiro #Joker #gotham #newyork #nycpic.twitter.com/rQn773knHG,CHARACTERS
110,1180270486988574722,Video is live! please like and share!Drawing Joker Like a Printer #JokerMovie #joker  https://youtu.be/Xqwewmuf4lU  via @YouTube,
111,1180270465564237824,"So I watched the #JokerMovie today and I have to say 

  “that’s what I call tuesdays”",
112,1180270407225630721,"#JokerMovie is much ado about nothing. Mediocre film, not even controversial. Also, Heath Ledger is the the only Joker.",
113,1180270354050306049,Absolutely stunning  #JokerMovie,
114,1180270284357525504,The #JokerMovie was one big bowl of movie magic pic.twitter.com/Jm2TH0UoI5,
115,1180270261683265536,#JokerMovie the last moments honestly gave me biggest chills I've ever had from a movie pic.twitter.com/n0ATui8Ph5,
116,1180270237796749313,"Put on a happy face

@jokermovie 

#Joker #JokerMovie #JoaquinPhoenixpic.twitter.com/F6qjoDAVrf",
117,1180270161393266693,#JokerMovie was awesome.  A great blackpill Movie.  10 out of 10 for me.,
118,1180270158469910535,"#JokerMovie ,"" You Get What You Deserve"" pic.twitter.com/lzXU5eijNO",
119,1180270142141296640,"Happy #NationalSmileDay 🃏 

HAHAHAHAHAHAHA... HAHA.... HAHAHA #JokerMovie pic.twitter.com/zJQ8y7g2vi",
120,1177734174914093067,"Halftone comic style drawing
#joker #manga #comics #jokermovie #drawingpic.twitter.com/hwyhSdLYM7",
121,1177733094197080069,@JoaqPhoenix I am HUGE #JokerFan So Excited For @jokermovie #JokerMovie pic.twitter.com/LnfPBKlatU,
122,1177732974864822272,"HAHAHAHAHAHAHA
🦇😳
@IGN @nerdist @CBR @ComicBook @ComicBookNOW 
#batman #batmanandrobin #jasontodd #joker #harleyquinn #jokerfilm #jokermovie #jokeredit #jokerandharleyquinn #redhoodfanseries #redhood #filmmaking #youtube #DCcomicspic.twitter.com/a2zrIEYM0R",
123,1177732890165166080,Are any artists standing up for #JokerMovie?,
124,1177732780890808320,"I sat down with Joaquin Phoenix & Todd Phillips to discuss JOKER.

Phoenix talked:

- Being bullied at a young age
- Logistics of the steps dance
- Safely losing 52 pounds

Phillips & I talked about the filmmaking & “handmade” style.

VIDEO: https://youtu.be/f-WRJfmuG5U  #JokerMovie",TALENT
125,1177732041422462976,"Started my day with a #jokermovie #morningsketch 🎨

#dc23art #traditionalart #penbrush #dccomics #comics #joker #donsuratospic.twitter.com/KJOEUoxbWU",
126,1177730464670507008,Less than a week until I see @jokermovie!! #JokerMovie,
127,1177729906236645376,"""A lot has been said about JOKER and we just feel it's time for people to see the film."" Bold move @wbpictures, and the absolute right one. Can't wait for people to actually SEE this movie, instead of just talking shit about what it is and isn't. #Joker #JokerMovie https://twitter.com/Variety/status/1177675994913656832 …",
128,1177729758509092870,"Joker movie next weekend getting those imax tickets 

#JokerMovie",
129,1177728778937618432,#JokerMovie Oh yeah.We live in a society.,
130,1177728544262234113,Shit I need buy my ticket for #JokerMovie before they sale out opening weekend,
131,1177728436468477953,"If #JoaquinPhoenix wins an #Oscar, will that make #Joker the most award winning character in film history, considering that #HeathLedger earned one for his performance in #TheDarkKnight?
#JokerMovie #JokerFilm #DCEU #AcademyAwards #Movies #Film #ToddPhillips #DC #Batman",
132,1177726707224186881,"Wasn't really sure what to expect from #JokerMovie but the montage where he tries on all the different facepaint styles like Bozo, Emmett Kelly, and The Crow makeup was worth the price of the popcorn for sure. Plus you don't hear ""All Star"" on enough soundtracks these days.",
133,1177726009732468737,Next Friday everybody be seeing the #JokerMovie while I’m seeing it on Thursday pic.twitter.com/OhwJSuFjSY,
134,1177725047462662144,"Arthur Fleck
-
#JokerMovie #Joker #dccomics #JoaquinPhoenixpic.twitter.com/OCBL4x6ppY",CHARACTERS
135,1177725009101504512,"Hang on... #JokerMovie 
shouldn't exist? This movie is going be awful?
This is where I have to remind everyone that the views of some members of @SoWizardPodcast does not reflect the views & opinions of all the cohost.
Oh we might debating at #NYCC2019https://youtu.be/2ch_rn60BlU ",
136,1177724806759948288,"Joker 🤡
-
#JokerMovie #Joker #dccomics #JoaquinPhoenixpic.twitter.com/YzpeC9uqDU",
137,1177723359657938944,“Joaquin Phoenix is astonishing.” Experience #JokerMovie on the state's largest screen beginning October 3rd. Tickets are on sale now! http://ow.ly/aJeK30pARqK  #Jokerpic.twitter.com/jHfQEcrP6N,TALENT
138,1177722732420780033,"Review: In #JokerMovie, Joaquin Phoenix gives the most frightening portrayal of a maniac in decades. via @MickLaSalle https://trib.al/K4kgL98 pic.twitter.com/IhLSS9uZ2X",TALENT
139,1177722319608766464,"You know, combine the #JokerMovie with @WuTangOnHulu, you’ve got a pretty solid #MartinShkreli biopic 🤔",
140,1179184154254032898,Tonight’s presentation. #JokerMovie @jokermoviepic.twitter.com/Iym6dwbDgI,
141,1179184103394091008,Tonight’s screening for #JokerMovie has one of the longest lines I’ve seen at a press/public screening. This advance look at #JokerFilm is getting a rare four screens @AMCTheatres. It opens this Friday. Look for my review on Thursday.pic.twitter.com/3KAphtFxlJ – en AMC Barton Creek Square 14,
142,1179184054484103168,So proud of the students in Hong Kong. #TuesdayThoughts #TuesdayMorning #TuesdayMotivation #tuesdayvibes #TuesdayTrivia #TacoTuesday #October1st #October #October2019 #JokerMovie #Joker #JokerWeek #HongKongProtests #HongKongHumanRightsandDemocracyAct #hongkongpolicebrutalityhttps://twitter.com/nytimes/status/1179044588285243394 …,
143,1179184024872312832,"Batman NES Walkthrough 
https://youtu.be/cQQ5U0gDDLI 
#longlivethebat #birdsofprey #jokerReturn #twitchcon #joker #jokermovie #MexicanJoker #LongLiveTheBat #Batman80 #birdsofprey #BirdsofPreyAndtheFantabulousEmancipationofOneHarleyQuinn #batmanxfortnite  #DCBatman #twitchcon19 #avgn",
144,1179184022263668737,Well. Here goes nothing. Let’s see what all the fuss is about. #JokerMovie pic.twitter.com/RJEEXkQaXK,
145,1179183796404535298,"Time for my #JokerMovie screening, finally about to see how I feel about the latest controversial film.",
146,1179183750099292160,"It's not released in my city,  so unlucky #JokerMovie 😭😭",
147,1179183673406623744,"So excited to advance screen @jokermovie  Who is seeing it on opening day? 
@TheDCUniverse 
#jokermovie #dcuniverse #inaxpic.twitter.com/AITqF9KqZV – en AMC NorthPark 15",
148,1179183574718636032,EXCLU: #JokerMovie worries have @NYPDnews putting plain clothed cops in NYC theaters for opening weekend #Jokerhttps://deadline.com/2019/10/joker-movie-theaters-new-york-police-plan-opening-weekend-undercover-1202749565/ …,
149,1179183570994249728,"""Aspiration"". Took two screencaps from @jokermovie and created a banner #Joker #JokerWeek #JokerMovie #JokerMovieContest #DC #DCComics #Elseworlds #JoaquinPhoenix #Gotham #Batman #TheBatman #ToddPhillips #FanArtpic.twitter.com/2cUOCfiLID",
150,1179183344782888960,Time for #JokerMovie screening!! Can’t wait to see which side of the opinion fence I’m gonna fall on!!,
151,1179183188800757760,"Jesus, kids. Just watch Scorsese’s #kingofcomedy and leave #JokerMovie to the sleeping bros who are about to try stand up comedy. https://twitter.com/ThePlaylist/status/1179065198499393536 …",
152,1179183121545269250,"The first time I’ve been excited to see a movie in a long time...Review will be coming soon!

#jokermovie #jokerpic.twitter.com/N4hZE3jcZX",
153,1179182634674638848,I. AM. SO. PUMPED for this one. 🔥#JokerMovie 🤡 pic.twitter.com/Yv1vrIDouD,
154,1179182392440868864,"Alright, #JokerMovie time! @JokerMovie @thedcuniverse #DCUniverse @IMAX #imaxpic.twitter.com/9fUMK0qUVw",
155,1179182189461692416,"Is it weird that I really don't wanna see #JokerMovie ? I know I'll end up seeing it, but I'm really not interested.",
156,1179182135648739328,"At this point if I get murdered at a screening of the #JokerMovie I’d probably be like yeah, I guess I deserved that.",
157,1179181856853413888,Let’s see what all the fuss is about! #JokerMovie pic.twitter.com/zwRI8EIsZn,
158,1179181842055999488,"Movie Screening!!! JOKER

jokermovie
#jokermovie https://www.instagram.com/p/B3GDrYZgsD0-e57Wf5QUkGEV8jC7HTosj1pkWo0/?igshid=sb60z3u2igg7 …",
159,1179181730340724737,Screening time... Can't wait for it to start #JokerMovie https://www.instagram.com/p/B3GDoRPgOFw/?igshid=1id853xqo4pv2 …,
160,1178095659477426176,I’ve seen #JokerMovie and finally wanted to post my thoughts in a single tweet. 👍🏼 thank you for the feedback. 😊,
161,1178094299898138626,"Folks, #JokerMovie doesn’t come out until next week, but here’s an early preview. https://twitter.com/FiteTV/status/1178089904439476224 …",
162,1178094214808248321,Kudos too Todd Phillips. 👍🏻👏🏻👏🏻#JokerMovie,TALENT
163,1178094088039612417,"#JOKER #JOKERMOVIE #PARANORMAL

WATCHING @huntingthedead 

HEATH LEDGER REACTION TO NEW JOKER MOVIE AND JOAQUIN PHOENIX! SPIRIT BOX!!

ALL THE FAMS GO WATCH LIKE SUBSCRIBE SMASH THAT LIKE BUTTON GO SHARE OUT. GO SHOW MASSIVE FAM LOVE RESPECT POSITIVITY 2 @huntingthedead",TALENT
164,1178093556340277250,Lmfao silly I'm seeing #JokerMovie tomorrow won in a contest on the radio. But can't bring my phone and have to sign a contract to.,
165,1178092597337829378,My movies reviews come back this week with The #JokerMovie,
166,1178092013838884864,"Have you had your #MMO #Today?  You're not gonna want to miss this one.  With #JoaquinPhoenix's #JokerMovie just a week away, we go deep into the most classic portrayal of #Joker thus far...https://soundcloud.com/mikemikeandoscar/ep246-mmojoker6-heathledger …",TALENT
167,1178091856787206144,Hey #SJWs if you keep trying to control art such as #JokerMovie and #DaveChappelle  sticks and stones. You're going to lose. The backlash is coming and ppl are going to go straight anti PC. #backlashiscoming,
168,1178090860208168960,"what’s going on with godzilla vs. kong ? cause i’ve heard about the trailer coming before #JokerMovie 

#GodzillaMovie",
